,"MagArray (490km, 1s step, ~94min total length for each, {x y z})","MagArray (520km, 1s step)","MagArray (490km, 0.5s step)","MagArray (520km, 0.5s step)"
,{    0.048406777        0.048288002        0.295783825},{    0.048798616        0.048380421        0.291531430},{    0.142783639        0.098220617        0.271061415},{    0.141337354        0.096760895        0.267061740}
,{    0.047990575        0.047920732        0.295849311},{    0.048388747        0.048023571        0.291597462},{    0.142512542        0.098153570        0.271155533},{    0.141072258        0.096696225        0.267154274}
,{    0.047575357        0.047552594        0.295914133},{    0.047979822        0.047665865        0.291662848},{    0.142241504        0.098086155        0.271249511},{    0.140807219        0.096631198        0.267246672}
,{    0.047161124        0.047183592        0.295978292},{    0.047571845        0.047307307        0.291727589},{    0.141970526        0.098018373        0.271343348},{    0.140542236        0.096565814        0.267338934}
,{    0.046747879        0.046813730        0.296041787},{    0.047164817        0.046947902        0.291791683},{    0.141699610        0.097950223        0.271437044},{    0.140277310        0.096500074        0.267431060}
,{    0.046335625        0.046443013        0.296104619},{    0.046758740        0.046587653        0.291855133},{    0.141428756        0.097881706        0.271530599},{    0.140012443        0.096433978        0.267523049}
,{    0.045924362        0.046071444        0.296166788},{    0.046353617        0.046226563        0.291917937},{    0.141157963        0.097812823        0.271624014},{    0.139747634        0.096367525        0.267614902}
,{    0.045514094        0.045699027        0.296228295},{    0.045949450        0.045864638        0.291980096},{    0.140887234        0.097743573        0.271717287},{    0.139482885        0.096300717        0.267706618}
,{    0.045104823        0.045325767        0.296289140},{    0.045546241        0.045501881        0.292041611},{    0.140616569        0.097673956        0.271810418},{    0.139218195        0.096233552        0.267798197}
,{    0.044696550        0.044951667        0.296349323},{    0.045143993        0.045138295        0.292102482},{    0.140345967        0.097603973        0.271903408},{    0.138953566        0.096166033        0.267889639}
,{    0.044289278        0.044576732        0.296408844},{    0.044742706        0.044773886        0.292162709},{    0.140075431        0.097533625        0.271996257},{    0.138688998        0.096098158        0.267980944}
,{    0.043883008        0.044200967        0.296467704},{    0.044342383        0.044408655        0.292222292},{    0.139804959        0.097462910        0.272088963},{    0.138424491        0.096029927        0.268072112}
,{    0.043477744        0.043824374        0.296525904},{    0.043943027        0.044042609        0.292281231},{    0.139534554        0.097391829        0.272181528},{    0.138160046        0.095961342        0.268163142}
,{    0.043073486        0.043446958        0.296583443},{    0.043544639        0.043675750        0.292339528},{    0.139264216        0.097320384        0.272273950},{    0.137895665        0.095892402        0.268254034}
,{    0.042670238        0.043068723        0.296640321},{    0.043147221        0.043308082        0.292397181},{    0.138993945        0.097248573        0.272366230},{    0.137631347        0.095823107        0.268344789}
,{    0.042268000        0.042689674        0.296696541},{    0.042750776        0.042939610        0.292454192},{    0.138723742        0.097176396        0.272458367},{    0.137367092        0.095753458        0.268435406}
,{    0.041866775        0.042309814        0.296752100},{    0.042355305        0.042570337        0.292510561},{    0.138453607        0.097103856        0.272550362},{    0.137102903        0.095683455        0.268525885}
,{    0.041466564        0.041929148        0.296807001},{    0.041960810        0.042200267        0.292566289},{    0.138183541        0.097030950        0.272642214},{    0.136838778        0.095613098        0.268616225}
,{    0.041067371        0.041547679        0.296861243},{    0.041567293        0.041829405        0.292621374},{    0.137913546        0.096957680        0.272733923},{    0.136574719        0.095542387        0.268706427}
,{    0.040669196        0.041165412        0.296914827},{    0.041174756        0.041457753        0.292675819},{    0.137643620        0.096884046        0.272825489},{    0.136310727        0.095471322        0.268796491}
,{    0.040272042        0.040782350        0.296967753},{    0.040783201        0.041085317        0.292729623},{    0.137373766        0.096810048        0.272916911},{    0.136046801        0.095399904        0.268886416}
,{    0.039875910        0.040398499        0.297020022},{    0.040392630        0.040712099        0.292782786},{    0.137103983        0.096735686        0.273008191},{    0.135782943        0.095328133        0.268976202}
,{    0.039480802        0.040013862        0.297071634},{    0.040003045        0.040338105        0.292835310},{    0.136834273        0.096660961        0.273099326},{    0.135519154        0.095256009        0.269065849}
,{    0.039086721        0.039628442        0.297122589},{    0.039614447        0.039963337        0.292887193},{    0.136564635        0.096585872        0.273190318},{    0.135255432        0.095183532        0.269155357}
,{    0.038693667        0.039242245        0.297172888},{    0.039226838        0.039587800        0.292938438},{    0.136295071        0.096510420        0.273281166},{    0.134991781        0.095110702        0.269244725}
,{    0.038301643        0.038855275        0.297222531},{    0.038840221        0.039211497        0.292989043},{    0.136025581        0.096434605        0.273371870},{    0.134728199        0.095037520        0.269333954}
,{    0.037910651        0.038467535        0.297271518},{    0.038454596        0.038834434        0.293039010},{    0.135756165        0.096358428        0.273462430},{    0.134464687        0.094963986        0.269423044}
,{    0.037520692        0.038079029        0.297319851},{    0.038069966        0.038456612        0.293088339},{    0.135486825        0.096281888        0.273552845},{    0.134201247        0.094890100        0.269511994}
,{    0.037131768        0.037689762        0.297367530},{    0.037686333        0.038078038        0.293137030},{    0.135217561        0.096204986        0.273643116},{    0.133937878        0.094815862        0.269600804}
,{    0.036743881        0.037299738        0.297414555},{    0.037303698        0.037698713        0.293185084},{    0.134948373        0.096127722        0.273733243},{    0.133674582        0.094741273        0.269689474}
,{    0.036357032        0.036908960        0.297460926},{    0.036922063        0.037318643        0.293232500},{    0.134679263        0.096050096        0.273823224},{    0.133411358        0.094666332        0.269778004}
,{    0.035971224        0.036517434        0.297506644},{    0.036541429        0.036937831        0.293279281},{    0.134410230        0.095972109        0.273913061},{    0.133148208        0.094591041        0.269866394}
,{    0.035586457        0.036125162        0.297551709},{    0.036161798        0.036556281        0.293325425},{    0.134141276        0.095893760        0.274002752},{    0.132885132        0.094515398        0.269954643}
,{    0.035202733        0.035732150        0.297596123},{    0.035783173        0.036173998        0.293370933},{    0.133872400        0.095815051        0.274092298},{    0.132622130        0.094439405        0.270042751}
,{    0.034820055        0.035338401        0.297639885},{    0.035405554        0.035790984        0.293415807},{    0.133603604        0.095735980        0.274181699},{    0.132359203        0.094363061        0.270130719}
,{    0.034438423        0.034943919        0.297682996},{    0.035028943        0.035407245        0.293460045},{    0.133334889        0.095656549        0.274270955},{    0.132096353        0.094286367        0.270218546}
,{    0.034057840        0.034548708        0.297725456},{    0.034653342        0.035022783        0.293503649},{    0.133066254        0.095576757        0.274360064},{    0.131833578        0.094209323        0.270306232}
,{    0.033678307        0.034152773        0.297767266},{    0.034278753        0.034637603        0.293546620},{    0.132797700        0.095496605        0.274449028},{    0.131570881        0.094131930        0.270393777}
,{    0.033299825        0.033756118        0.297808427},{    0.033905176        0.034251708        0.293588957},{    0.132529229        0.095416094        0.274537846},{    0.131308261        0.094054187        0.270481180}
,{    0.032922395        0.033358746        0.297848938},{    0.033532614        0.033865104        0.293630661},{    0.132260840        0.095335223        0.274626518},{    0.131045719        0.093976094        0.270568442}
,{    0.032546021        0.032960662        0.297888801},{    0.033161068        0.033477792        0.293671732},{    0.131992535        0.095253992        0.274715044},{    0.130783256        0.093897652        0.270655563}
,{    0.032170702        0.032561869        0.297928016},{    0.032790539        0.033089779        0.293712172},{    0.131724313        0.095172402        0.274803423},{    0.130520873        0.093818862        0.270742542}
,{    0.031796441        0.032162372        0.297966584},{    0.032421030        0.032701066        0.293751980},{    0.131456176        0.095090453        0.274891655},{    0.130258569        0.093739723        0.270829379}
,{    0.031423238        0.031762176        0.298004504},{    0.032052541        0.032311659        0.293791157},{    0.131188124        0.095008145        0.274979741},{    0.129996345        0.093660235        0.270916073}
,{    0.031051096        0.031361283        0.298041779},{    0.031685074        0.031921561        0.293829704},{    0.130920157        0.094925479        0.275067680},{    0.129734203        0.093580399        0.271002626}
,{    0.030680016        0.030959698        0.298078407},{    0.031318631        0.031530776        0.293867621},{    0.130652277        0.094842455        0.275155472},{    0.129472142        0.093500215        0.271089037}
,{    0.030309999        0.030557425        0.298114390},{    0.030953212        0.031139307        0.293904908},{    0.130384484        0.094759073        0.275243117},{    0.129210163        0.093419684        0.271175305}
,{    0.029941046        0.030154469        0.298149729},{    0.030588820        0.030747160        0.293941566},{    0.130116778        0.094675333        0.275330615},{    0.128948267        0.093338805        0.271261430}
,{    0.029573159        0.029750832        0.298184423},{    0.030225455        0.030354337        0.293977596},{    0.129849161        0.094591236        0.275417965},{    0.128686455        0.093257579        0.271347413}
,{    0.029206340        0.029346520        0.298218474},{    0.029863120        0.029960843        0.294012997},{    0.129581632        0.094506781        0.275505168},{    0.128424726        0.093176005        0.271433253}
,{    0.028840589        0.028941536        0.298251882},{    0.029501815        0.029566682        0.294047772},{    0.129314192        0.094421969        0.275592223},{    0.128163082        0.093094085        0.271518950}
,{    0.028475908        0.028535884        0.298284647},{    0.029141542        0.029171857        0.294081919},{    0.129046842        0.094336801        0.275679130},{    0.127901523        0.093011819        0.271604504}
,{    0.028112298        0.028129569        0.298316771},{    0.028782302        0.028776372        0.294115440},{    0.128779583        0.094251276        0.275765890},{    0.127640049        0.092929206        0.271689914}
,{    0.027749761        0.027722594        0.298348253},{    0.028424096        0.028380231        0.294148336},{    0.128512415        0.094165395        0.275852501},{    0.127378662        0.092846247        0.271775182}
,{    0.027388298        0.027314964        0.298379095},{    0.028066926        0.027983438        0.294180606},{    0.128245338        0.094079158        0.275938964},{    0.127117362        0.092762942        0.271860305}
,{    0.027027909        0.026906682        0.298409297},{    0.027710793        0.027585998        0.294212251},{    0.127978354        0.093992566        0.276025278},{    0.126856149        0.092679292        0.271945285}
,{    0.026668597        0.026497752        0.298438859},{    0.027355699        0.027187912        0.294243272},{    0.127711463        0.093905618        0.276111444},{    0.126595024        0.092595297        0.272030122}
,{    0.026310362        0.026088179        0.298467783},{    0.027001644        0.026789187        0.294273670},{    0.127444666        0.093818314        0.276197461},{    0.126333988        0.092510956        0.272114814}
,{    0.025953206        0.025677966        0.298496068},{    0.026648629        0.026389825        0.294303445},{    0.127177962        0.093730656        0.276283330},{    0.126073041        0.092426270        0.272199362}
,{    0.025597130        0.025267117        0.298523716},{    0.026296657        0.025989830        0.294332597},{    0.126911353        0.093642643        0.276369050},{    0.125812183        0.092341240        0.272283767}
,{    0.025242134        0.024855638        0.298550727},{    0.025945727        0.025589207        0.294361127},{    0.126644840        0.093554276        0.276454620},{    0.125551416        0.092255866        0.272368026}
,{    0.024888221        0.024443530        0.298577102},{    0.025595842        0.025187958        0.294389037},{    0.126378423        0.093465555        0.276540041},{    0.125290740        0.092170147        0.272452142}
,{    0.024535391        0.024030799        0.298602841},{    0.025247003        0.024786089        0.294416325},{    0.126112102        0.093376480        0.276625313},{    0.125030155        0.092084085        0.272536113}
,{    0.024183645        0.023617449        0.298627945},{    0.024899209        0.024383602        0.294442993},{    0.125845878        0.093287051        0.276710436},{    0.124769662        0.091997679        0.272619939}
,{    0.023832985        0.023203482        0.298652415},{    0.024552464        0.023980501        0.294469042},{    0.125579752        0.093197269        0.276795409},{    0.124509262        0.091910930        0.272703620}
,{    0.023483411        0.022788905        0.298676252},{    0.024206768        0.023576791        0.294494472},{    0.125313724        0.093107134        0.276880232},{    0.124248955        0.091823837        0.272787156}
,{    0.023134924        0.022373719        0.298699455},{    0.023862121        0.023172475        0.294519284},{    0.125047795        0.093016646        0.276964905},{    0.123988741        0.091736402        0.272870547}
,{    0.022787526        0.021957930        0.298722026},{    0.023518525        0.022767557        0.294543478},{    0.124781966        0.092925806        0.277049428},{    0.123728622        0.091648625        0.272953793}
,{    0.022441218        0.021541542        0.298743965},{    0.023175982        0.022362041        0.294567055},{    0.124516236        0.092834613        0.277133801},{    0.123468598        0.091560505        0.273036894}
,{    0.022096000        0.021124557        0.298765273},{    0.022834491        0.021955931        0.294590016},{    0.124250608        0.092743069        0.277218024},{    0.123208669        0.091472043        0.273119849}
,{    0.021751874        0.020706981        0.298785951},{    0.022494055        0.021549230        0.294612361},{    0.123985080        0.092651173        0.277302096},{    0.122948837        0.091383239        0.273202658}
,{    0.021408840        0.020288816        0.298806000},{    0.022154674        0.021141942        0.294634090},{    0.123719655        0.092558925        0.277386018},{    0.122689101        0.091294094        0.273285322}
,{    0.021066900        0.019870068        0.298825419},{    0.021816349        0.020734072        0.294655205},{    0.123454332        0.092466326        0.277469789},{    0.122429462        0.091204607        0.273367840}
,{    0.020726054        0.019450740        0.298844210},{    0.021479081        0.020325622        0.294675706},{    0.123189112        0.092373377        0.277553410},{    0.122169920        0.091114780        0.273450212}
,{    0.020386303        0.019030836        0.298862373},{    0.021142871        0.019916597        0.294695594},{    0.122923996        0.092280077        0.277636879},{    0.121910477        0.091024612        0.273532437}
,{    0.020047649        0.018610359        0.298879910},{    0.020807720        0.019507000        0.294714870},{    0.122658984        0.092186427        0.277720197},{    0.121651133        0.090934103        0.273614517}
,{    0.019710091        0.018189315        0.298896821},{    0.020473629        0.019096835        0.294733533},{    0.122394077        0.092092426        0.277803365},{    0.121391889        0.090843254        0.273696450}
,{    0.019373632        0.017767706        0.298913106},{    0.020140599        0.018686107        0.294751585},{    0.122129276        0.091998076        0.277886380},{    0.121132744        0.090752065        0.273778236}
,{    0.019038272        0.017345536        0.298928766},{    0.019808631        0.018274818        0.294769026},{    0.121864580        0.091903377        0.277969245},{    0.120873700        0.090660537        0.273859876}
,{    0.018704011        0.016922810        0.298943802},{    0.019477725        0.017862972        0.294785857},{    0.121599991        0.091808328        0.278051957},{    0.120614757        0.090568669        0.273941369}
,{    0.018370850        0.016499532        0.298958215},{    0.019147883        0.017450574        0.294802079},{    0.121335510        0.091712931        0.278134518},{    0.120355916        0.090476463        0.274022715}
,{    0.018038791        0.016075704        0.298972005},{    0.018819106        0.017037627        0.294817693},{    0.121071136        0.091617185        0.278216928},{    0.120097177        0.090383917        0.274103915}
,{    0.017707834        0.015651332        0.298985174},{    0.018491393        0.016624134        0.294832698},{    0.120806870        0.091521091        0.278299185},{    0.119838541        0.090291033        0.274184967}
,{    0.017377980        0.015226418        0.298997721},{    0.018164747        0.016210100        0.294847096},{    0.120542714        0.091424649        0.278381290},{    0.119580009        0.090197810        0.274265872}
,{    0.017049229        0.014800968        0.299009648},{    0.017839167        0.015795528        0.294860888},{    0.120278667        0.091327859        0.278463243},{    0.119321580        0.090104250        0.274346629}
,{    0.016721583        0.014374984        0.299020955},{    0.017514655        0.015380423        0.294874073},{    0.120014730        0.091230722        0.278545044},{    0.119063256        0.090010352        0.274427239}
,{    0.016395041        0.013948470        0.299031644},{    0.017191211        0.014964786        0.294886653},{    0.119750904        0.091133238        0.278626692},{    0.118805037        0.089916116        0.274507701}
,{    0.016069606        0.013521431        0.299041714},{    0.016868837        0.014548623        0.294898629},{    0.119487189        0.091035407        0.278708187},{    0.118546924        0.089821544        0.274588016}
,{    0.015745276        0.013093871        0.299051166},{    0.016547533        0.014131937        0.294910001},{    0.119223586        0.090937229        0.278789530},{    0.118288917        0.089726634        0.274668183}
,{    0.015422054        0.012665792        0.299060002},{    0.016227299        0.013714732        0.294920769},{    0.118960096        0.090838706        0.278870720},{    0.118031016        0.089631388        0.274748202}
,{    0.015099940        0.012237199        0.299068223},{    0.015908136        0.013297011        0.294930936},{    0.118696718        0.090739836        0.278951757},{    0.117773223        0.089535805        0.274828072}
,{    0.014778934        0.011808096        0.299075828},{    0.015590046        0.012878779        0.294940500},{    0.118433455        0.090640621        0.279032641},{    0.117515538        0.089439887        0.274907795}
,{    0.014459037        0.011378486        0.299082818},{    0.015273028        0.012460038        0.294949463},{    0.118170305        0.090541060        0.279113372},{    0.117257961        0.089343633        0.274987369}
,{    0.014140250        0.010948373        0.299089195},{    0.014957084        0.012040792        0.294957826},{    0.117907271        0.090441155        0.279193949},{    0.117000494        0.089247043        0.275066794}
,{    0.013822573        0.010517762        0.299094959},{    0.014642214        0.011621046        0.294965590},{    0.117644352        0.090340905        0.279274373},{    0.116743136        0.089150118        0.275146072}
,{    0.013506007        0.010086655        0.299100111},{    0.014328419        0.011200803        0.294972754},{    0.117381548        0.090240311        0.279354644},{    0.116485888        0.089052859        0.275225200}
,{    0.013190552        0.009655057        0.299104651},{    0.014015699        0.010780066        0.294979321},{    0.117118862        0.090139372        0.279434760},{    0.116228751        0.088955265        0.275304179}
,{    0.012876210        0.009222971        0.299108581},{    0.013704055        0.010358839        0.294985289},{    0.116856292        0.090038090        0.279514723},{    0.115971725        0.088857336        0.275383010}
,{    0.012562979        0.008790402        0.299111902},{    0.013393487        0.009937126        0.294990661},{    0.116593840        0.089936465        0.279594532},{    0.115714811        0.088759074        0.275461692}
,{    0.012250862        0.008357352        0.299114613},{    0.013083997        0.009514931        0.294995438},{    0.116331507        0.089834496        0.279674187},{    0.115458009        0.088660478        0.275540224}
,{    0.011939859        0.007923826        0.299116716},{    0.012775584        0.009092256        0.294999618},{    0.116069292        0.089732184        0.279753688},{    0.115201320        0.088561548        0.275618607}
,{    0.011629969        0.007489827        0.299118212},{    0.012468250        0.008669106        0.295003205},{    0.115807197        0.089629530        0.279833034},{    0.114944745        0.088462286        0.275696841}
,{    0.011321194        0.007055360        0.299119101},{    0.012161995        0.008245484        0.295006197},{    0.115545222        0.089526534        0.279912227},{    0.114688283        0.088362690        0.275774925}
,{    0.011013534        0.006620427        0.299119384},{    0.011856819        0.007821395        0.295008597},{    0.115283368        0.089423196        0.279991264},{    0.114431936        0.088262762        0.275852860}
,{    0.010706989        0.006185033        0.299119062},{    0.011552723        0.007396840        0.295010404},{    0.115021634        0.089319517        0.280070147},{    0.114175705        0.088162502        0.275930645}
,{    0.010401561        0.005749181        0.299118136},{    0.011249707        0.006971825        0.295011619},{    0.114760023        0.089215496        0.280148875},{    0.113919589        0.088061910        0.276008280}
,{    0.010097248        0.005312875        0.299116606},{    0.010947772        0.006546352        0.295012244},{    0.114498533        0.089111134        0.280227449},{    0.113663589        0.087960987        0.276085765}
,{    0.009794053        0.004876118        0.299114474},{    0.010646919        0.006120426        0.295012279},{    0.114237167        0.089006432        0.280305867},{    0.113407706        0.087859732        0.276163100}
,{    0.009491974        0.004438915        0.299111740},{    0.010347147        0.005694049        0.295011724},{    0.113975924        0.088901389        0.280384131},{    0.113151941        0.087758146        0.276240285}
,{    0.009191013        0.004001269        0.299108405},{    0.010048458        0.005267226        0.295010581},{    0.113714805        0.088796007        0.280462239},{    0.112896293        0.087656229        0.276317320}
,{    0.008891170        0.003563183        0.299104470},{    0.009750851        0.004839959        0.295008850},{    0.113453811        0.088690285        0.280540192},{    0.112640764        0.087553982        0.276394204}
,{    0.008592445        0.003124662        0.299099935},{    0.009454328        0.004412253        0.295006532},{    0.113192942        0.088584223        0.280617989},{    0.112385353        0.087451405        0.276470938}
,{    0.008294839        0.002685709        0.299094802},{    0.009158888        0.003984111        0.295003628},{    0.112932198        0.088477823        0.280695631},{    0.112130063        0.087348499        0.276547521}
,{    0.007998351        0.002246327        0.299089071},{    0.008864532        0.003555537        0.295000138},{    0.112671581        0.088371084        0.280773117},{    0.111874892        0.087245263        0.276623953}
,{    0.007702983        0.001806521        0.299082744},{    0.008571260        0.003126533        0.294996064},{    0.112411091        0.088264007        0.280850448},{    0.111619842        0.087141697        0.276700235}
,{    0.007408734        0.001366293        0.299075820},{    0.008279073        0.002697104        0.294991406},{    0.112150728        0.088156591        0.280927622},{    0.111364913        0.087037803        0.276776366}
,{    0.007115606        0.000925648        0.299068300},{    0.007987971        0.002267253        0.294986164},{    0.111890493        0.088048838        0.281004641},{    0.111110106        0.086933581        0.276852345}
,{    0.006823597        0.000484589        0.299060186},{    0.007697955        0.001836984        0.294980340},{    0.111630387        0.087940748        0.281081503},{    0.110855421        0.086829030        0.276928173}
,{    0.006532709        0.000043119        0.299051479},{    0.007409024        0.001406300        0.294973935},{    0.111370410        0.087832321        0.281158210},{    0.110600859        0.086724151        0.277003851}
,{    0.006242941       -0.000398757        0.299042179},{    0.007121179        0.000975204        0.294966948},{    0.111110563        0.087723557        0.281234760},{    0.110346420        0.086618945        0.277079376}
,{    0.005954294       -0.000841037        0.299032287},{    0.006834421        0.000543701        0.294959382},{    0.110850846        0.087614457        0.281311153},{    0.110092105        0.086513411        0.277154751}
,{    0.005666768       -0.001283716        0.299021803},{    0.006548749        0.000111792        0.294951236},{    0.110591260        0.087505021        0.281387391},{    0.109837915        0.086407551        0.277229973}
,{    0.005380364       -0.001726791        0.299010730},{    0.006264165       -0.000320517        0.294942512},{    0.110331805        0.087395249        0.281463471},{    0.109583849        0.086301364        0.277305044}
,{    0.005095081       -0.002170259        0.298999067},{    0.005980667       -0.000753223        0.294933210},{    0.110072482        0.087285142        0.281539395},{    0.109329909        0.086194850        0.277379964}
,{    0.004810919       -0.002614115        0.298986815},{    0.005698257       -0.001186324        0.294923332},{    0.109813292        0.087174700        0.281615162},{    0.109076095        0.086088011        0.277454731}
,{    0.004527880       -0.003058357        0.298973975},{    0.005416935       -0.001619816        0.294912877},{    0.109554235        0.087063924        0.281690772},{    0.108822408        0.085980846        0.277529346}
,{    0.004245962       -0.003502981        0.298960549},{    0.005136700       -0.002053695        0.294901847},{    0.109295311        0.086952813        0.281766225},{    0.108568848        0.085873356        0.277603809}
,{    0.003965167       -0.003947983        0.298946536},{    0.004857554       -0.002487958        0.294890242},{    0.109036522        0.086841368        0.281841520},{    0.108315415        0.085765540        0.277678120}
,{    0.003685494       -0.004393361        0.298931939},{    0.004579496       -0.002922601        0.294878063},{    0.108777867        0.086729590        0.281916659},{    0.108062111        0.085657401        0.277752279}
,{    0.003406943       -0.004839109        0.298916756},{    0.004302527       -0.003357621        0.294865312},{    0.108519348        0.086617478        0.281991640},{    0.107808936        0.085548936        0.277826286}
,{    0.003129515       -0.005285226        0.298900990},{    0.004026647       -0.003793015        0.294851989},{    0.108260964        0.086505033        0.282066464},{    0.107555889        0.085440148        0.277900139}
,{    0.002853210       -0.005731706        0.298884642},{    0.003751855       -0.004228779        0.294838094},{    0.108002717        0.086392256        0.282141130},{    0.107302973        0.085331036        0.277973841}
,{    0.002578027       -0.006178548        0.298867711},{    0.003478153       -0.004664910        0.294823628},{    0.107744607        0.086279147        0.282215638},{    0.107050187        0.085221601        0.278047389}
,{    0.002303968       -0.006625747        0.298850200},{    0.003205540       -0.005101404        0.294808593},{    0.107486635        0.086165706        0.282289989},{    0.106797531        0.085111842        0.278120785}
,{    0.002031031       -0.007073301        0.298832108},{    0.002934016       -0.005538259        0.294792989},{    0.107228800        0.086051934        0.282364182},{    0.106545008        0.085001761        0.278194028}
,{    0.001759217       -0.007521204        0.298813438},{    0.002663582       -0.005975470        0.294776817},{    0.106971104        0.085937830        0.282438217},{    0.106292616        0.084891358        0.278267117}
,{    0.001488526       -0.007969455        0.298794188},{    0.002394237       -0.006413035        0.294760078},{    0.106713548        0.085823395        0.282512094},{    0.106040356        0.084780632        0.278340054}
,{    0.001218958       -0.008418050        0.298774361},{    0.002125982       -0.006850950        0.294742772},{    0.106456131        0.085708630        0.282585812},{    0.105788230        0.084669585        0.278412837}
,{    0.000950513       -0.008866985        0.298753958},{    0.001858817       -0.007289212        0.294724901},{    0.106198854        0.085593535        0.282659373},{    0.105536237        0.084558217        0.278485468}
,{    0.000683192       -0.009316257        0.298732978},{    0.001592742       -0.007727817        0.294706464},{    0.105941719        0.085478111        0.282732775},{    0.105284378        0.084446527        0.278557944}
,{    0.000416993       -0.009765862        0.298711423},{    0.001327757       -0.008166762        0.294687464},{    0.105684724        0.085362357        0.282806018},{    0.105032654        0.084334517        0.278630268}
,{    0.000151917       -0.010215797        0.298689295},{    0.001063863       -0.008606044        0.294667900},{    0.105427872        0.085246274        0.282879103},{    0.104781065        0.084222187        0.278702437}
,{   -0.000112035       -0.010666059        0.298666592},{    0.000801058       -0.009045660        0.294647774},{    0.105171162        0.085129862        0.282952029},{    0.104529611        0.084109536        0.278774453}
,{   -0.000374865       -0.011116645        0.298643318},{    0.000539343       -0.009485606        0.294627086},{    0.104914595        0.085013122        0.283024797},{    0.104278294        0.083996566        0.278846316}
,{   -0.000636571       -0.011567550        0.298619472},{    0.000278719       -0.009925879        0.294605838},{    0.104658172        0.084896054        0.283097406},{    0.104027114        0.083883276        0.278918024}
,{   -0.000897155       -0.012018772        0.298595055},{    0.000019185       -0.010366475        0.294584029},{    0.104401892        0.084778658        0.283169856},{    0.103776070        0.083769668        0.278989579}
,{   -0.001156616       -0.012470308        0.298570068},{   -0.000239259       -0.010807392        0.294561662},{    0.104145758        0.084660936        0.283242146},{    0.103525165        0.083655741        0.279060979}
,{   -0.001414954       -0.012922153        0.298544513},{   -0.000496613       -0.011248626        0.294538736},{    0.103889769        0.084542886        0.283314278},{    0.103274397        0.083541496        0.279132225}
,{   -0.001672169       -0.013374305        0.298518389},{   -0.000752876       -0.011690174        0.294515252},{    0.103633925        0.084424510        0.283386250},{    0.103023769        0.083426932        0.279203317}
,{   -0.001928262       -0.013826760        0.298491698},{   -0.001008049       -0.012132033        0.294491212},{    0.103378228        0.084305808        0.283458063},{    0.102773280        0.083312051        0.279274255}
,{   -0.002183232       -0.014279515        0.298464440},{   -0.001262132       -0.012574199        0.294466616},{    0.103122677        0.084186780        0.283529717},{    0.102522930        0.083196853        0.279345038}
,{   -0.002437080       -0.014732567        0.298436617},{   -0.001515125       -0.013016670        0.294441465},{    0.102867274        0.084067427        0.283601211},{    0.102272721        0.083081338        0.279415667}
,{   -0.002689805       -0.015185913        0.298408229},{   -0.001767028       -0.013459441        0.294415760},{    0.102612019        0.083947749        0.283672546},{    0.102022653        0.082965507        0.279486141}
,{   -0.002941409       -0.015639548        0.298379278},{   -0.002017840       -0.013902510        0.294389501},{    0.102356912        0.083827746        0.283743721},{    0.101772727        0.082849359        0.279556460}
,{   -0.003191890       -0.016093471        0.298349764},{   -0.002267563       -0.014345875        0.294362690},{    0.102101954        0.083707419        0.283814736},{    0.101522942        0.082732896        0.279626625}
,{   -0.003441250       -0.016547677        0.298319687},{   -0.002516196       -0.014789530        0.294335327},{    0.101847146        0.083586769        0.283885591},{    0.101273299        0.082616117        0.279696635}
,{   -0.003689487       -0.017002163        0.298289049},{   -0.002763739       -0.015233474        0.294307413},{    0.101592488        0.083465794        0.283956287},{    0.101023800        0.082499022        0.279766490}
,{   -0.003936604       -0.017456927        0.298257851},{   -0.003010192       -0.015677703        0.294278949},{    0.101337980        0.083344497        0.284026822},{    0.100774444        0.082381613        0.279836190}
,{   -0.004182599       -0.017911964        0.298226094},{   -0.003255556       -0.016122214        0.294249936},{    0.101083623        0.083222877        0.284097197},{    0.100525232        0.082263890        0.279905734}
,{   -0.004427473       -0.018367272        0.298193778},{   -0.003499830       -0.016567003        0.294220374},{    0.100829419        0.083100934        0.284167412},{    0.100276164        0.082145853        0.279975124}
,{   -0.004671226       -0.018822848        0.298160904},{   -0.003743015       -0.017012069        0.294190264},{    0.100575366        0.082978669        0.284237467},{    0.100027242        0.082027502        0.280044358}
,{   -0.004913858       -0.019278688        0.298127474},{   -0.003985110       -0.017457407        0.294159608},{    0.100321466        0.082856083        0.284307361},{    0.099778465        0.081908837        0.280113436}
,{   -0.005155370       -0.019734789        0.298093487},{   -0.004226116       -0.017903014        0.294128406},{    0.100067719        0.082733176        0.284377095},{    0.099529834        0.081789860        0.280182360}
,{   -0.005395761       -0.020191148        0.298058945},{   -0.004466034       -0.018348888        0.294096659},{    0.099814126        0.082609948        0.284446668},{    0.099281350        0.081670570        0.280251127}
,{   -0.005635032       -0.020647761        0.298023849},{   -0.004704862       -0.018795024        0.294064368},{    0.099560688        0.082486399        0.284516081},{    0.099033012        0.081550967        0.280319740}
,{   -0.005873184       -0.021104627        0.297988200},{   -0.004942603       -0.019241421        0.294031533},{    0.099307404        0.082362530        0.284585332},{    0.098784822        0.081431053        0.280388196}
,{   -0.006110216       -0.021561740        0.297951998},{   -0.005179254       -0.019688075        0.293998155},{    0.099054275        0.082238341        0.284654423},{    0.098536781        0.081310828        0.280456496}
,{   -0.006346128       -0.022019099        0.297915244},{   -0.005414817       -0.020134983        0.293964235},{    0.098801303        0.082113834        0.284723354},{    0.098288888        0.081190291        0.280524641}
