,"MagArray (490km, 1s step, ~94min total length for each, {x y z})","MagArray (520km, 1s step)","MagArray (490km, 0.5s step)","MagArray (520km, 0.5s step)"
,{    0.226065543        0.100924317        0.236293670},{    0.222725479        0.099270628        0.232965284},{    0.235849951        0.098788273        0.231360043},{    0.232288760        0.097184599        0.228134524}
,{    0.225545233        0.101022113        0.236550292},{    0.222216977        0.099366221        0.233216584},{    0.235595065        0.098851207        0.231491228},{    0.232039610        0.097246020        0.228262961}
,{    0.225024419        0.101118436        0.236806598},{    0.221707987        0.099460385        0.233467578},{    0.235340032        0.098913779        0.231622343},{    0.231790318        0.097307090        0.228391331}
,{    0.224503106        0.101213285        0.237062585},{    0.221198513        0.099553119        0.233718263},{    0.235084853        0.098975990        0.231753388},{    0.231540884        0.097367809        0.228519631}
,{    0.223981297        0.101306660        0.237318252},{    0.220688559        0.099644422        0.233968637},{    0.234829528        0.099037840        0.231884361},{    0.231291309        0.097428177        0.228647863}
,{    0.223458997        0.101398558        0.237573597},{    0.220178129        0.099734292        0.234218699},{    0.234574058        0.099099328        0.232015264},{    0.231041594        0.097488194        0.228776026}
,{    0.222936212        0.101488979        0.237828618},{    0.219667228        0.099822728        0.234468447},{    0.234318443        0.099160454        0.232146095},{    0.230791738        0.097547860        0.228904120}
,{    0.222412944        0.101577920        0.238083314},{    0.219155861        0.099909729        0.234717880},{    0.234062684        0.099221218        0.232276854},{    0.230541743        0.097607175        0.229032144}
,{    0.221889198        0.101665382        0.238337682},{    0.218644030        0.099995294        0.234966995},{    0.233806782        0.099281620        0.232407542},{    0.230291610        0.097666137        0.229160099}
,{    0.221364979        0.101751363        0.238591721},{    0.218131741        0.100079422        0.235215791},{    0.233550736        0.099341659        0.232538157},{    0.230041337        0.097724748        0.229287984}
,{    0.220840292        0.101835861        0.238845429},{    0.217618997        0.100162111        0.235464267},{    0.233294548        0.099401336        0.232668701},{    0.229790927        0.097783007        0.229415799}
,{    0.220315140        0.101918875        0.239098805},{    0.217105804        0.100243360        0.235712419},{    0.233038218        0.099460650        0.232799171},{    0.229540379        0.097840914        0.229543543}
,{    0.219789528        0.102000404        0.239351846},{    0.216592165        0.100323169        0.235960248},{    0.232781746        0.099519601        0.232929570},{    0.229289694        0.097898468        0.229671217}
,{    0.219263461        0.102080448        0.239604551},{    0.216078084        0.100401536        0.236207751},{    0.232525133        0.099578189        0.233059895},{    0.229038873        0.097955670        0.229798820}
,{    0.218736943        0.102159004        0.239856918},{    0.215563566        0.100478459        0.236454926},{    0.232268380        0.099636413        0.233190147},{    0.228787915        0.098012519        0.229926352}
,{    0.218209978        0.102236072        0.240108945},{    0.215048615        0.100553939        0.236701772},{    0.232011487        0.099694274        0.233320326},{    0.228536822        0.098069016        0.230053814}
,{    0.217682572        0.102311650        0.240360631},{    0.214533235        0.100627974        0.236948287},{    0.231754454        0.099751771        0.233450431},{    0.228285595        0.098125159        0.230181203}
,{    0.217154728        0.102385738        0.240611973},{    0.214017432        0.100700562        0.237194469},{    0.231497282        0.099808904        0.233580462},{    0.228034233        0.098180948        0.230308522}
,{    0.216626451        0.102458335        0.240862971},{    0.213501208        0.100771703        0.237440317},{    0.231239973        0.099865673        0.233710419},{    0.227782736        0.098236385        0.230435768}
,{    0.216097745        0.102529439        0.241113622},{    0.212984569        0.100841396        0.237685829},{    0.230982525        0.099922078        0.233840302},{    0.227531107        0.098291468        0.230562942}
,{    0.215568615        0.102599048        0.241363924},{    0.212467518        0.100909640        0.237931002},{    0.230724940        0.099978119        0.233970111},{    0.227279344        0.098346197        0.230690044}
,{    0.215039066        0.102667164        0.241613876},{    0.211950061        0.100976434        0.238175837},{    0.230467218        0.100033794        0.234099844},{    0.227027450        0.098400572        0.230817074}
,{    0.214509103        0.102733783        0.241863476},{    0.211432201        0.101041776        0.238420330},{    0.230209360        0.100089105        0.234229503},{    0.226775423        0.098454592        0.230944031}
,{    0.213978728        0.102798905        0.242112723},{    0.210913943        0.101105667        0.238664480},{    0.229951366        0.100144051        0.234359087},{    0.226523265        0.098508259        0.231070915}
,{    0.213447948        0.102862530        0.242361613},{    0.210395291        0.101168104        0.238908286},{    0.229693238        0.100198632        0.234488595},{    0.226270976        0.098561571        0.231197726}
,{    0.212916767        0.102924656        0.242610147},{    0.209876250        0.101229087        0.239151746},{    0.229434974        0.100252847        0.234618028},{    0.226018556        0.098614529        0.231324464}
,{    0.212385189        0.102985282        0.242858322},{    0.209356823        0.101288615        0.239394857},{    0.229176577        0.100306697        0.234747385},{    0.225766007        0.098667131        0.231451128}
,{    0.211853219        0.103044407        0.243106135},{    0.208837017        0.101346688        0.239637619},{    0.228918046        0.100360181        0.234876665},{    0.225513329        0.098719379        0.231577718}
,{    0.211320862        0.103102031        0.243353587},{    0.208316833        0.101403303        0.239880030},{    0.228659381        0.100413299        0.235005870},{    0.225260522        0.098771271        0.231704235}
,{    0.210788121        0.103158152        0.243600674},{    0.207796279        0.101458461        0.240122087},{    0.228400585        0.100466051        0.235134998},{    0.225007586        0.098822809        0.231830677}
,{    0.210255002        0.103212770        0.243847395},{    0.207275356        0.101512161        0.240363790},{    0.228141656        0.100518436        0.235264049},{    0.224754523        0.098873990        0.231957045}
,{    0.209721510        0.103265883        0.244093748},{    0.206754071        0.101564401        0.240605137},{    0.227882596        0.100570456        0.235393023},{    0.224501332        0.098924817        0.232083338}
,{    0.209187649        0.103317491        0.244339732},{    0.206232427        0.101615181        0.240846125},{    0.227623406        0.100622109        0.235521920},{    0.224248015        0.098975287        0.232209557}
,{    0.208653423        0.103367593        0.244585345},{    0.205710430        0.101664501        0.241086754},{    0.227364084        0.100673394        0.235650740},{    0.223994571        0.099025401        0.232335700}
,{    0.208118838        0.103416188        0.244830585},{    0.205188082        0.101712358        0.241327021},{    0.227104634        0.100724314        0.235779482},{    0.223741002        0.099075159        0.232461768}
,{    0.207583897        0.103463275        0.245075450},{    0.204665390        0.101758753        0.241566925},{    0.226845053        0.100774865        0.235908146},{    0.223487308        0.099124561        0.232587761}
,{    0.207048606        0.103508854        0.245319938},{    0.204142357        0.101803685        0.241806465},{    0.226585345        0.100825050        0.236036733},{    0.223233489        0.099173607        0.232713678}
,{    0.206512969        0.103552923        0.245564049},{    0.203618988        0.101847152        0.242045638},{    0.226325508        0.100874867        0.236165241},{    0.222979546        0.099222296        0.232839519}
,{    0.205976991        0.103595482        0.245807780},{    0.203095287        0.101889155        0.242284443},{    0.226065543        0.100924317        0.236293670},{    0.222725479        0.099270628        0.232965284}
,{    0.205440676        0.103636530        0.246051129},{    0.202571259        0.101929692        0.242522878},{    0.225805451        0.100973399        0.236422021},{    0.222471289        0.099318603        0.233090972}
,{    0.204904030        0.103676066        0.246294095},{    0.202046908        0.101968764        0.242760942},{    0.225545233        0.101022113        0.236550292},{    0.222216977        0.099366221        0.233216584}
,{    0.204367057        0.103714091        0.246536676},{    0.201522239        0.102006368        0.242998633},{    0.225284889        0.101070458        0.236678485},{    0.221962543        0.099413482        0.233342120}
,{    0.203829761        0.103750602        0.246778870},{    0.200997256        0.102042505        0.243235949},{    0.225024419        0.101118436        0.236806598},{    0.221707987        0.099460385        0.233467578}
,{    0.203292148        0.103785599        0.247020676},{    0.200471964        0.102077173        0.243472889},{    0.224763825        0.101166045        0.236934631},{    0.221453310        0.099506931        0.233592959}
,{    0.202754221        0.103819082        0.247262091},{    0.199946368        0.102110373        0.243709450},{    0.224503106        0.101213285        0.237062585},{    0.221198513        0.099553119        0.233718263}
,{    0.202215987        0.103851050        0.247503115},{    0.199420472        0.102142103        0.243945632},{    0.224242263        0.101260157        0.237190459},{    0.220943595        0.099598950        0.233843489}
,{    0.201677449        0.103881502        0.247743745},{    0.198894280        0.102172363        0.244181432},{    0.223981297        0.101306660        0.237318252},{    0.220688559        0.099644422        0.233968637}
